Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.0541410755776,7.12348651488077,4.75344106709481,2.48698314309755,0.355468359919399,7.13278252750477,5.82725049723314,3.10281341798961,7.77435480904532,1.85829134003374,8.42619326831647,2.3647531323401,10.5999073974466,5.56572959605401,6.56442622650846,4.36778271536467,5.68855260655263,4.99792885663946,7.00456195056974,5.828590083927
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.01593475720539,5.91768465163287,15.3291557381864,7.34719497034287,9.25055822849697,6.43851652509102,6.05942803125549,6.59113036073539,6.76447277784797,8.03692510189684,8.00565591528179,5.30792420366642,4.23006117510556,6.67133539288376,6.30971865572383,2.65269329541835,-1.61686894991816,0.805886619542704,1.92275734157302,2.2084292771582
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.54913578288874,-3.06725662451662,1.49366547202928,2.22260165732409,4.67408957960916,4.72408864201974,5.13702516153505,6.47348685752347,5.47200139015598,-0.358614856979685,3.35875085773812,2.33988604520331,-0.456183223607951,2.92525766450484,3.62912351276373,3.85586514041738,2.84820519363306,1.08177273813243,2.72014690475054,3.55058387280909
Northern Mariana Islands,MNP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,0.408441116405726,-3.11864406779661,-12.666200139958,-6.89102564102564,-6.71256454388984,-11.070110701107,-17.5311203319502,1.38364779874213,-7.69230769230769,0.537634408602145,2.40641711229948,3.78590078328982,3.52201257861636,28.3110571081409,25.5681818181818,-19.6078431372549,..
Norway,NOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.20497922225218,2.07479039388386,1.44625413960414,0.910105664307537,3.96941456013641,2.62545762627546,2.39979082117745,2.99425185125679,0.476379999491613,-1.72702030948713,0.701833823862358,0.981469497299358,2.70307385484266,1.03407291353631,1.9695443007939,1.96712843821408,1.07155897720727,2.3232584068849,1.28954820126177,1.15472193916453
Oman,OMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.40137271684387,4.48245409608852,-1.10056525031256,-2.66896944662061,1.29211256440746,2.49045835992148,5.3720682991583,4.45269430369515,8.19969581343223,6.11245376078915,4.80331686366742,-1.10698696541111,9.3317368265984,4.37345329105683,2.75220025960441,4.67768559423595,4.9593715005489,0.346379722687345,1.76338759141308,0.499999999999986
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.26008801156806,3.55441821600166,2.50833772413712,5.77703399201583,7.54686001537084,6.51877807388874,5.89898444129835,4.83281727717085,1.7014054654513,2.83165851919991,1.60668862905307,2.7484059174005,3.50703342009689,4.39645663349772,4.67470798143725,4.73114747532901,5.52673584474448,5.55427743729406,5.83641749754401,0.98882943984708
Palau,PLW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,6.40645979112342,3.45620804411266,-2.83607887689686,4.97468996142318,4.0581486981424,-1.49496568223056,1.34297600844479,-5.58478485225046,-6.25871271101643,0.288984327608446,4.86561625142319,1.84131362068511,-1.41418882998062,4.37341342932834,10.0751275747566,0.796679888193026,-3.51792471457112,1.70551858341909,..
Panama,PAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.71537415482821,0.574272790634538,2.2291494166373,4.20549594481572,7.52207965784619,7.19127940233535,8.65246561056669,11.9839853947871,9.85565485158463,1.24299231776416,5.82783939246903,11.3137317481848,9.77890394560946,6.90327256581698,5.06674321802782,5.7327636321358,4.95349994364463,5.59900676302185,3.69210086368122,3.00638929488115
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.49484199260023,-0.121288605564772,-0.158900533082658,2.16410250222083,2.72117574098235,6.34479592309654,5.4099440910731,7.81518922862385,-0.296457845880553,6.80042148322096,10.1284540720232,1.10754362619616,4.65711959686239,3.82494632800676,13.5437706216546,9.48354844060211,4.07777365190216,3.53752772339615,-0.754492526884178,5.62379797684798
Paraguay,PRY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.31414056819048,-0.834054716746095,-0.0214043949985694,4.32074548551591,4.05741836363771,2.13349066459601,4.80711719268376,5.42162287218237,6.35912079325512,-0.257971433685171,11.1437357938518,4.24911104462905,-0.538512942503061,8.41749528470305,4.86089037055322,3.08037400793089,4.31290497002365,4.95805142159847,3.35195802391546,-0.029914393294078
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.69437139806912,0.617892325624297,5.45352893818767,4.16502313666112,4.95820320611745,6.28506032509601,7.5288990440594,8.5183877690955,9.1265683014642,1.0958236592427,8.33245910749577,6.32719240161117,6.13972470560435,5.85251821084928,2.38215737180541,3.25224477218451,3.95331871520767,2.51883544233135,3.97693571755005,2.1501313906839
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.41122216004747,3.04923134410974,3.71625500183485,5.0869111341207,6.56922851280078,4.94250511783582,5.31641682217439,6.51929155037081,4.34448730488354,1.44832306282932,7.33449996041739,3.85823282747839,6.89695171057478,6.75053130177827,6.34798748250283,6.3483097167198,7.1494567495987,6.93098832586378,6.3414855714876,6.04057525673343
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.55954936021523,1.24796792188687,2.04162373954937,3.5624666652234,5.13565081223253,3.49322521636648,6.17933520622964,7.03522671476404,4.24978830587841,2.82012481637605,3.60752243410988,5.017235199938,1.60790664456468,1.39189232124922,3.31844753700079,3.83907133877577,3.06390811613761,4.93766324502775,5.34902511508139,4.1470237556496
Portugal,PRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.81617784569175,1.94367248245287,0.770924141180245,-0.930520582487461,1.78873517122238,0.781848107767829,1.62503385374551,2.50657998891496,0.319248559389692,-3.12208009731232,1.73762581004311,-1.69616574359263,-4.05729435942355,-0.922643787257869,0.792190538376488,1.79204685274996,2.01948623027654,3.506343238044,2.63724552331206,2.16440359317662
